gene_symbol,haploinsufficiency_score,triplosensitivity_score
A4GALT,0,0
AAGAB,3,0
AARS1,0,0
AARS2,0,-1
AASS,0,0
ABAT,0,-1
ABCB4,3,0
ABCB11,0,0
ABCC8,0,0
ABCD1,3,0
ABCG5,0,0
ABCG8,0,0
ABHD12,0,-1
ABR,0,0
ABRAXAS1,0,0
ACAD8,0,0
ACADM,0,0
ACADSB,0,-1
ACADVL,0,0
ACD,0,0
ACOX1,0,0
ACP5,0,0
ACSF3,0,0
ACSL4,1,0
ACTA2,1,0
ACTB,0,0
ACTC1,1,0
ACTL6B,0,-1
ACVRL1,3,0
ADA2,0,0
ADAM9,0,0
ADAMTS2,0,0
ADAMTS13,0,-1
ADAMTS17,0,0
ADAMTS18,0,0
ADAMTSL2,0,0
ADGRG1,0,0
ADGRV1,0,0
ADNP,3,0
ADSL,0,0
AFF2,3,0
AGA,0,0
AGAP2,0,0
AGK,0,0
AGO4,0,0
AGPAT2,0,0
AGRN,0,0
AGT,0,0
AGTR2,0,0
AGXT,0,-1
AHCY,0,0
AHDC1,3,0
AHI1,0,0
AICDA,0,-1
AIFM1,0,0
AIMP1,0,0
AKT1,0,0
AKT2,0,0
AKT3,1,0
ALAD,0,-1
ALDH1A3,0,0
ALDH3A2,0,-1
ALDH4A1,0,0
ALDH5A1,0,0
ALDOA,0,-1
ALG1,0,-1
ALG2,0,-1
ALG6,0,-1
ALG12,0,0
ALG13,1,0
ALK,0,0
ALMS1,0,0
ALS2,0,0
ALX4,3,0
AMH,0,-1
AMN,0,0
ANGPTL3,0,-1
ANK2,3,0
ANKH,0,0
ANKRD11,3,0
ANKRD17,3,0
ANKRD26,0,0
ANKS1B,1,-1
ANKS6,0,-1
ANOS1,3,0
ANTXR2,0,0
AP1S2,3,0
AP4B1,0,0
AP4S1,0,0
APC,3,0
APOB,3,0
APOC2,0,-1
APP,0,1
AR,3,0
ARCN1,3,0
ARFGEF2,0,0
ARG1,0,0
ARHGAP11B,0,0
ARHGAP31,0,0
ARHGEF4,0,0
ARHGEF6,0,0
ARHGEF9,3,0
ARID1A,3,0
ARID1B,3,0
ARID2,3,0
ARL6,0,0
ARL6IP1,0,-1
ARSA,0,0
ARSD,0,0
ARSL,3,0
ARX,3,0
ASAH1,0,0
ASH1L,3,0
ASL,0,0
ASPA,0,0
ASPH,0,-1
