gene,oe_lof,oe_lof_lower,oe_lof_upper,oe_lof_upper_rank,pLI
MED13,0.0,0.0,0.03,0.0,1.0
NIPBL,0.0066527,0.001,0.032,1.0,1.0
SMC3,0.0,0.0,0.037,2.0,1.0
CNOT1,0.0079978,0.002,0.038,3.0,1.0
RLF,0.0,0.0,0.04,4.0,1.0
PCF11,0.0,0.0,0.04,5.0,1.0
FNDC3B,0.0,0.0,0.042,6.0,1.0
TAF1,0.0,0.0,0.043,7.0,1.0
RSF1,0.0,0.0,0.044,8.0,1.0
NCKAP1,0.0,0.0,0.044,9.0,1.0
KDM2A,0.0,0.0,0.045,10.0,1.0
BRD4,0.0,0.0,0.048,11.0,1.0
HELZ,0.010152,0.003,0.048,12.0,1.0
FBN1,0.018895,0.008,0.049,13.0,1.0
XPO1,0.0,0.0,0.051,14.0,1.0
PRR12,0.0,0.0,0.051,15.0,1.0
USP9X,0.010698,0.003,0.051,16.0,1.0
POLA1,0.0,0.0,0.051,17.0,1.0
SYNGAP1,0.0,0.0,0.052,18.0,1.0
PRKDC,0.024934,0.012,0.052,19.0,1.0
HDAC4,0.0,0.0,0.052,20.0,1.0
SMG1,0.023202,0.01,0.053,21.0,1.0
ZC3H4,0.0,0.0,0.054,22.0,1.0
COL5A1,0.017445,0.006,0.055,23.0,1.0
SMARCA4,0.011662,0.003,0.055,24.0,1.0
TNPO1,0.0,0.0,0.056,25.0,1.0
AGO1,0.0,0.0,0.057,26.0,1.0
ARHGAP35,0.0,0.0,0.057,27.0,1.0
LRP1,0.032397,0.018,0.058,28.0,1.0
TOP1,0.0,0.0,0.059,29.0,1.0
TRIP12,0.018956,0.007,0.06,30.0,1.0
KMT2E,0.012722,0.004,0.06,31.0,1.0
HCFC1,0.0,0.0,0.06,32.0,1.0
UBTF,0.0,0.0,0.06,33.0,1.0
HUWE1,0.026088,0.012,0.06,34.0,1.0
KDM3B,0.012543,0.003,0.06,35.0,1.0
TRRAP,0.030535,0.016,0.06,36.0,1.0
GRIN2B,0.0,0.0,0.061,37.0,1.0
USP7,0.012958,0.004,0.061,38.0,1.0
ATP1A3,0.0,0.0,0.062,39.0,1.0
ASH1L,0.023938,0.01,0.062,40.0,1.0
ANKRD17,0.019796,0.007,0.062,41.0,1.0
SMC1A,0.0,0.0,0.062,42.0,1.0
NPEPPS,0.0,0.0,0.062,43.0,1.0
CHERP,0.0,0.0,0.062,44.0,1.0
MED13L,0.020314,0.007,0.064,45.0,1.0
RPRD2,0.0,0.0,0.064,46.0,1.0
KMT2A,0.031118,0.015,0.065,47.0,1.0
CREBBP,0.025349,0.011,0.066,48.0,1.0
SF3B1,0.013864,0.004,0.066,49.0,1.0
EIF3B,0.0,0.0,0.067,50.0,1.0
PPFIA1,0.01413,0.004,0.067,51.0,1.0
ZSWIM6,0.0,0.0,0.067,52.0,1.0
PRPF3,0.0,0.0,0.068,53.0,1.0
KAT6A,0.021841,0.008,0.069,54.0,1.0
KMT2B,0.026915,0.011,0.07,55.0,1.0
SIN3A,0.014832,0.004,0.07,56.0,1.0
CHD2,0.027031,0.011,0.07,57.0,1.0
ARID1A,0.022463,0.008,0.071,58.0,1.0
GLTSCR1L,0.0,0.0,0.071,59.0,1.0
SCN1A,0.022602,0.008,0.071,60.0,1.0
MED12,0.022555,0.008,0.071,61.0,1.0
TJP1,0.022625,0.008,0.071,62.0,1.0
SPEN,0.03101,0.014,0.071,63.0,1.0
WDFY3,0.03799,0.021,0.071,64.0,1.0
HDAC6,0.0,0.0,0.072,65.0,1.0
EHMT1,0.015126,0.004,0.072,66.0,1.0
JMJD1C,0.027844,0.012,0.072,67.0,1.0
MAP3K12,0.0,0.0,0.072,68.0,1.0
GGNBP2,0.0,0.0,0.073,69.0,1.0
CASK,0.0,0.0,0.073,70.0,1.0
TLE3,0.0,0.0,0.073,71.0,1.0
CHD6,0.031735,0.015,0.073,72.0,1.0
UBR5,0.037137,0.019,0.073,73.0,1.0
EIF4G1,0.023611,0.009,0.074,74.0,1.0
NBEA,0.035174,0.017,0.074,75.0,1.0
SMARCA5,0.01569,0.005,0.074,76.0,1.0
TSC2,0.023406,0.009,0.074,77.0,1.0
SUPT5H,0.015513,0.005,0.074,78.0,1.0
GREB1L,0.023739,0.009,0.075,79.0,1.0
PTCH1,0.015809,0.005,0.075,80.0,1.0
CHD7,0.036285,0.018,0.076,81.0,1.0
RAD54L2,0.016026,0.005,0.076,82.0,1.0
CNOT3,0.0,0.0,0.076,83.0,1.0
AHDC1,0.0,0.0,0.076,84.0,1.0
U2SURP,0.016335,0.005,0.077,85.0,1.0
RBM25,0.016196,0.005,0.077,86.0,1.0
GIGYF2,0.02997,0.013,0.077,87.0,1.0
MBTD1,0.0,0.0,0.077,88.0,1.0
DCAF5,0.0,0.0,0.078,89.0,1.0
SUV420H1,0.0,0.0,0.078,90.0,1.0
